id,cas_number,rtecs_number,conversion,idlh,rel_and_pel,molecular_weight,boiling_point,melting_point,solubility,vapor_pressure,ionization_potential,specific_gravity,flash_point,upper_explosive_limit,lower_explosive_limit,relative_gas_density,minimum_explosive_concentration,combustibility,exposure_routes,symptoms,target_organs,personal_protection_and_sanitation,first_aid
0155,108-39-4,,1 ppm = 4.43 mg/m<sup>3</sup>,250 ppm,: TWA 2.3 ppm (10 mg/m<sup>3</sup>)                  : TWA 5 ppm (22 mg/m<sup>3</sup>) [skin],108.2,397°F,54°F,2%,VP(77°F): 0.14 mmHg,8.98 eV,1.03,187°F,?,LEL(300°F): 1.1%,,,Class IIIA Combustible Liquid: Fl.P. at or above 140°F and below 200°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, mucous membrane; central nervous system effects: confusion, depression, resp failure; dyspnea (breathing difficulty), irreg rapid resp, weak pulse; eye, skin burns; dermatitis; lung, liver, kidney, pancreas damage","Eyes, skin, respiratory system, central nervous system, liver, kidneys, pancreas, cardiovascular system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0156,106-44-5,,1 ppm = 4.43 mg/m<sup>3</sup>,250 ppm,: TWA 2.3 ppm (10 mg/m<sup>3</sup>)                  : TWA 5 ppm (22 mg/m<sup>3</sup>) [skin],108.2,396°F,95°F,2%,VP(77°F): 0.11 mmHg,8.97 eV,1.04,187°F,?,LEL(300°F): 1.1%,,,Combustible Solid Class IIIA Combustible Liquid: Fl.P. at or above 140°F and below 200°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, mucous membrane; central nervous system effects: confusion, depression, resp failure; dyspnea (breathing difficulty), irreg rapid resp, weak pulse; eye, skin burns; dermatitis; lung, liver, kidney, pancreas damage","Eyes, skin, respiratory system, central nervous system, liver, kidneys, pancreas, cardiovascular system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0157,4170-30-3,,1 ppm = 2.87 mg/m<sup>3</sup>,50 ppm,: TWA 2 ppm (6 mg/m<sup>3</sup>)  (Aldehydes)                  : TWA 2 ppm (6 mg/m<sup>3</sup>),70.1,219°F,-101°F,18%,19 mmHg,9.73 eV,0.87,45°F,15.5%,2.1%,,,Class IB Flammable Liquid: Fl.P. below 73°F and BP at or above 100°F.,"inhalation, ingestion, skin and/or eye contact","irritation eyes, respiratory system; in animals: dyspnea (breathing difficulty), pulmonary edema, irritation skin","Eyes, skin, respiratory system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0158,299-86-5,,,N.D.,: TWA 5 mg/m<sup>3</sup> ST 20 mg/m<sup>3</sup>: none,291.7,Decomposes,140°F,Insoluble,VP(243°F): 0.01 mmHg,?,1.16,?,?,?,,,Combustible Solid,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, respiratory system; wheezing, dyspnea (breathing difficulty); blurred vision, lacrimation (discharge of tears); sweating; abdominal cramps, diarrhea, nausea, anorexia","Eyes, skin, respiratory system, blood cholinesterase",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0159,98-82-8,,1 ppm = 4.92 mg/m<sup>3</sup>,900 ppm [10%LEL],: TWA 50 ppm (245 mg/m<sup>3</sup>) [skin]                  : TWA 50 ppm (245 mg/m<sup>3</sup>) [skin],120.2,306°F,-141°F,Insoluble,8 mmHg,8.75 eV,0.86,96°F,6.5%,0.9%,,,Class IC Flammable Liquid: Fl.P. at or above 73°F and below 100°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, mucous membrane; dermatitis; headache, narcosis, coma","Eyes, skin, respiratory system, central nervous system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0160,420-04-2,,,N.D.,: TWA 2 mg/m<sup>3</sup>: none,42.1,500°F (Decomposes),113°F,Sol(59°F): 78%,?,10.65 eV,1.28,286°F,?,?,,,Combustible Solid,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, respiratory system; eye, skin burns; miosis, salivation, lacrimation (discharge of tears), twitching; Antabuse-like effects","Eyes, skin, respiratory system, central nervous system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0161,460-19-5,,1 ppm = 2.13 mg/m<sup>3</sup>,N.D.,: TWA 10 ppm (20 mg/m<sup>3</sup>)                  : none,52.0,-6°F,-18°F,1%,VP(70°F): 5.1 atm,13.57 eV,0.95 (Liquid at -6°F),NA (Gas),32%,6.6%,1.82,,Flammable Gas,"inhalation, skin and/or eye contact","irritation eyes, nose, upper respiratory system; lacrimation (discharge of tears); cherry red lips, tachypnea, hypernea, bradycardia; headache, convulsions; dizziness, loss of appetite, weight loss; liquid: frostbite","Eyes, respiratory system, central nervous system, cardiovascular system",() <strong>Skin:</strong> Frostbite                  <strong>Eyes:</strong> Prevent eye contact/Frostbite                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Frostbite wash,()<strong>Eye:</strong> Frostbite                  <strong>Skin:</strong> Frostbite                  <strong>Breathing:</strong> Respiratory support
0162,506-77-4,,1 ppm = 2.52 mg/m<sup>3</sup>,N.D.,: C 0.3 ppm (0.6 mg/m<sup>3</sup>)                  : none,61.5,55°F,20°F,7%,1010 mmHg,12.49 eV,1.22 (Liquid at 32°F),NA,NA,NA,2.16,,Nonflammable Gas,"inhalation, skin absorption (liquid), ingestion (liquid), skin and/or eye contact (liquid)","irritation eyes, upper respiratory system; cough, delayed pulmonary edema; lassitude (weakness, exhaustion), headache, dizziness, confusion, nausea, vomiting; irreg heartbeat; irritation skin (liquid)","Eyes, skin, respiratory system, central nervous system, cardiovascular system","() <strong>Skin:</strong> Prevent skin contact (liquid)                  <strong>Eyes:</strong> Prevent eye contact (liquid)                  <strong>Wash skin:</strong> When contaminated (liquid)                  <strong>Remove:</strong> When wet or contaminated (liquid)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash (liquid), Quick drench (liquid)",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water wash immediately (liquid)                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately (liquid)
0163,110-82-7,,1 ppm = 3.44 mg/m<sup>3</sup>,1300 ppm [10%LEL],: TWA 300 ppm (1050 mg/m<sup>3</sup>)                  : TWA 300 ppm (1050 mg/m<sup>3</sup>),84.2,177°F,44°F,Insoluble,78 mmHg,9.88 eV,0.78,0°F,8%,1.3%,,,Class IB Flammable Liquid: Fl.P. below 73°F and BP at or above 100°F.,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, respiratory system; drowsiness; dermatitis; narcosis, coma","Eyes, skin, respiratory system, central nervous system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0164,1569-69-3,,1 ppm = 4.75 mg/m<sup>3</sup>,N.D.,: C 0.5 ppm (2.4 mg/m<sup>3</sup>) [15-minute]                  : none,116.2,316°F,-181°F,Insoluble,10 mmHg,?,0.98,110°F,?,?,,,Class II Combustible Liquid: Fl.P. at or above 100°F and below 140°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, respiratory system; headache, dizziness, lassitude (weakness, exhaustion), nausea, vomiting, convulsions; cough, wheezing, laryngitis, dyspnea (breathing difficulty)","Eyes, skin, respiratory system, central nervous system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0165,108-93-0,,1 ppm = 4.10 mg/m<sup>3</sup>,400 ppm,: TWA 50 ppm (200 mg/m<sup>3</sup>) [skin]                  : TWA 50 ppm (200 mg/m<sup>3</sup>),100.2,322°F,77°F,4%,1 mmHg,10.00 eV,0.96,154°F,?,?,,,Class IIIA Combustible Liquid: Fl.P. at or above 140°F and below 200°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, nose, throat; narcosis","Eyes, skin, respiratory system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0166,108-94-1,,1 ppm = 4.02 mg/m<sup>3</sup>,700 ppm,: TWA 25 ppm (100 mg/m<sup>3</sup>) [skin]                  : TWA 50 ppm (200 mg/m<sup>3</sup>),98.2,312°F,-49°F,15%,5 mmHg,9.14 eV,0.95,111°F,9.4%,LEL(212°F): 1.1%,,,Class II Combustible Liquid: Fl.P. at or above 100°F and below 140°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, mucous membrane; headache; narcosis, coma; dermatitis; in animals: liver, kidney damage","Eyes, skin, respiratory system, central nervous system, liver, kidneys",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0167,110-83-8,,1 ppm = 3.36 mg/m<sup>3</sup>,2000 ppm,: TWA 300 ppm (1015 mg/m<sup>3</sup>)                  : TWA 300 ppm (1015 mg/m<sup>3</sup>),82.2,181°F,-154°F,Insoluble,67 mmHg,8.95 eV,0.81,11°F,?,?,,,Class IB Flammable Liquid: Fl.P. below 73°F and BP at or above 100°F.,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, respiratory system; drowsiness","Eyes, skin, respiratory system, central nervous system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0168,108-91-8,,1 ppm = 4.06 mg/m<sup>3</sup>,N.D.,: TWA 10 ppm (40 mg/m<sup>3</sup>)                  : none,99.2,274°F,0°F,Miscible,11 mmHg,8.37 eV,0.87,88°F,9.4%,1.5%,,,Class IC Flammable Liquid: Fl.P. at or above 73°F and below 100°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, mucous membrane, respiratory system; eye, skin burns; skin sensitization; cough, pulmonary edema; drowsiness, dizziness; diarrhea, nausea, vomiting","Eyes, skin, respiratory system, central nervous system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
